,level_0,date,recovery_rate,recovered_patients,recovery_in_last_24_hrs,home_isolation_cumulative,home_isolation_new,hospitalized_patients_cumulative,hospitalized_patients_new,samples_tested_cumulative,samples_tested_new,tests_per_million,total_cases_cumulative,total_cases_new,deaths_cumulative,deaths_new,active_cases,hospital_discharged,day,month,year,Index
0,0,15-09-2020,78.76,20094,446,10297,434,6650,179,227810,1900,156189,25511,613,315,11,5102,,Tuesday,Sep-20,2020,20200915
1,1,16-09-2020,78.21,20445,351,10573,276,6843,193,229876,2066,157606,26139,628,319,4,5375,,Wednesday,Sep-20,2020,20200916
2,2,17-09-2020,77.82,20844,399,10929,356,7045,202,231801,1925,158926,26783,644,327,8,5612,,Thursday,Sep-20,2020,20200917
3,3,18-09-2020,77.84,21314,470,11169,240,7227,182,233674,1873,160210,27379,596,335,8,5730,,Friday,Sep-20,2020,20200918
4,4,19-09-2020,77.65,21760,446,11732,563,7457,230,235787,2113,161659,28022,643,342,7,5920,,Saturday,Sep-20,2020,20200919
5,5,20-09-2020,78.43,22297,537,12007,275,7677,220,237198,1411,162626,28429,407,351,9,5781,,Sunday,Sep-20,2020,20200920
6,6,21-09-2020,79.03,22726,429,12492,485,7907,230,238343,1145,163411,28753,324,360,9,5667,,Monday,Sep-20,2020,20200921
7,7,22-09-2020,79.96,23462,736,12782,290,8146,239,240206,1863,164688,29343,590,368,8,5513,,Tuesday,Sep-20,2020,20200922
8,8,23-09-2020,79.84,23857,395,13184,402,8393,247,242078,1872,165972,29879,536,376,8,5646,,Wednesday,Sep-20,2020,20200923
9,9,24-09-2020,79.69,24347,490,13611,427,8639,246,244189,2111,167419,30552,673,383,7,5822,,Thursday,Sep-20,2020,20200924
10,10,25-09-2020,80.68,25071,724,13936,325,8908,269,246170,1981,168777,31071,519,386,3,5614,,Friday,Sep-20,2020,20200925
11,11,26-09-2020,81.58,25759,688,14288,352,9180,272,248153,1983,170137,31574,503,391,5,5424,,Saturday,Sep-20,2020,20200926
12,12,27-09-2020,82.79,26460,701,14591,303,9471,291,249581,1428,171116,31958,384,401,10,5097,,Sunday,Sep-20,2020,20200927
13,13,28-09-2020,83.56,27072,612,14927,336,9597,126,251033,1452,172111,32396,438,407,6,4917,,Monday,Sep-20,2020,20200928
14,14,29-09-2020,84.76,27781,709,15239,312,9691,94,252783,1750,173311,32777,381,419,12,4577,,Tuesday,Sep-20,2020,20200929
15,15,30-09-2020,84.16,28125,344,15652,413,9764,73,254801,2018,174695,33418,641,428,9,4865,,Wednesday,Sep-20,2020,20200930
16,16,01-10-2020,84.04,28525,400,15955,303,9835,71,256897,2096,176132,33942,524,440,12,4977,,Thursday,Oct-20,2020,20201001
17,17,02-10-2020,84.18,29004,479,16192,237,9919,84,258285,1388,177084,34455,513,442,2,5009,,Friday,Oct-20,2020,20201002
18,18,05-10-2020,85.26,30456,423,17049,308,10161,67,262241,1246,179796,35719,391,460,4,4803,,Monday,Oct-20,2020,20201005
19,19,06-10-2020,85.65,31050,594,17354,305,10250,89,264139,1898,181097,36238,519,468,8,4720,,Tuesday,Oct-20,2020,20201006
20,20,07-10-2020,85.74,31444,394,17676,322,10321,71,265959,1820,182345,36670,432,477,9,4749,,Wednesday,Oct-20,2020,20201007
21,21,08-10-2020,85.98,31902,458,17980,304,10403,82,267362,1403,183307,37102,432,484,7,4716,,Thursday,Oct-20,2020,20201008
22,22,09-10-2020,85.97,32317,415,18201,221,10502,99,269205,1843,184570,37591,489,491,7,4783,,Friday,Oct-20,2020,20201009
23,23,10-10-2020,86.4,32777,460,18434,233,10559,57,270616,1411,185538,37934,343,499,8,4658,,Saturday,Oct-20,2020,20201010
24,24,11-10-2020,86.54,33203,426,18608,174,10623,64,271962,1346,186461,38366,432,507,8,4656,,Sunday,Oct-20,2020,20201011
25,25,12-10-2020,87.13,33698,495,18870,262,10690,67,273404,1442,187449,38674,308,511,4,4465,,Monday,Oct-20,2020,20201012
26,26,13-10-2020,87.64,34252,554,19093,223,10767,77,274974,1570,188526,39082,408,514,3,4316,,Tuesday,Oct-20,2020,20201013
27,27,14-10-2020,88.06,34731,479,19361,268,10852,85,276457,1483,189543,39438,356,519,5,4188,,Wednesday,Oct-20,2020,20201014
28,28,15-10-2020,88.41,35161,430,19534,173,10893,41,278039,1582,190627,39770,332,525,6,4084,,Thursday,Oct-20,2020,20201015
29,29,16-10-2020,88.82,35610,449,19756,222,10940,47,279295,1256,191488,40091,321,531,6,3950,,Friday,Oct-20,2020,20201016
30,30,19-10-2020,90.59,36914,519,20195,164,11095,42,282691,742,193817,40746,159,549,5,3283,,Monday,Oct-20,2020,20201019
31,31,20-10-2020,90.84,37275,361,20370,175,11151,56,284193,1502,194847,41031,285,555,6,3201,,Tuesday,Oct-20,2020,20201020
32,32,21-10-2020,91.16,37683,408,20544,174,11196,45,285455,1262,195712,41339,308,557,2,3099,,Wednesday,Oct-20,2020,20201021
33,33,22-10-2020,91.45,38031,348,20707,163,11249,53,286711,1256,196573,41586,247,564,7,2991,,Thursday,Oct-20,2020,20201022
34,34,23-10-2020,91.89,38421,390,20846,139,11297,48,287887,1176,197379,41813,227,568,4,2824,,Friday,Oct-20,2020,20201023
35,35,24-10-2020,92.24,38769,348,20996,150,11339,42,289332,1445,198370,42031,218,570,2,2692,,Saturday,Oct-20,2020,20201024
36,36,25-10-2020,92.54,39090,321,21064,68,11379,40,290350,1018,199068,42242,211,576,6,2576,,Sunday,Oct-20,2020,20201025
37,37,26-10-2020,92.71,39433,343,21208,144,11418,39,291630,1280,199945,42532,290,582,6,2517,,Monday,Oct-20,2020,20201026
38,38,27-10-2020,93.05,39778,345,21383,1175,11464,46,293591,1961,201290,42747,215,585,3,2384,,Tuesday,Oct-20,2020,20201027
39,39,28-10-2020,93.03,39974,196,21498,115,11518,54,295392,1801,202525,42968,221,592,7,2402,,Wednesday,Oct-20,2020,20201028
40,40,29-10-2020,92.97,40168,194,21581,83,11570,52,297075,1683,203679,43201,233,597,5,2436,,Thursday,Oct-20,2020,20201029
41,41,30-10-2020,93.07,40409,241,21761,180,11612,42,298792,1717,204856,43416,215,602,5,2405,,Friday,Oct-20,2020,20201030
42,42,31-10-2020,93.24,40678,269,21879,118,11650,38,300548,1756,206060,43626,210,604,2,2344,,Saturday,Oct-20,2020,20201031
43,43,01-11-2020,93.48,40915,237,21936,57,11693,43,301440,892,206671,43768,142,609,5,2244,,Sunday,Nov-20,2020,20201101
44,44,02-11-2020,93.56,41123,208,22049,113,11728,35,302832,1392,207626,43954,186,616,7,2215,,Monday,Nov-20,2020,20201102
45,45,03-11-2020,93.6,41362,239,22173,124,11767,39,304544,1712,208799,44189,235,618,2,2209,,Tuesday,Nov-20,2020,20201103
46,46,04-11-2020,93.78,41611,249,22298,125,11800,33,306425,1881,210089,44372,183,626,8,2135,,Wednesday,Nov-20,2020,20201104
47,47,05-11-2020,93.95,41849,238,22402,104,11832,32,308011,1586,211176,44544,172,630,4,2065,,Thursday,Nov-20,2020,20201105
48,48,06-11-2020,93.99,42056,207,22502,100,11871,39,309751,1740,212369,44747,203,633,3,2058,,Friday,Nov-20,2020,20201106
49,49,08-11-2020,94.18,42446,207,22728,103,12513,42,312780,1766,214446,45065,149,643,2,1976,,Sunday,Nov-20,2020,20201108
50,50,09-11-2020,94.4,42678,232,22772,44,12544,31,314183,1403,215408,45209,144,647,4,1884,,Monday,Nov-20,2020,20201109
51,51,10-11-2020,94.46,42877,199,22882,110,12573,29,315761,1578,216490,45389,180,651,4,1861,,Tuesday,Nov-20,2020,20201110
52,52,11-11-2020,94.57,43029,152,22954,72,12608,35,317230,1469,217497,45498,109,656,5,1813,,Wednesday,Nov-20,2020,20201111
53,53,12-11-2020,94.77,43221,192,23009,55,12640,32,318541,1311,218396,45605,107,656,0,1728,,Thursday,Nov-20,2020,20201112
54,54,13-11-2020,94.81,43388,167,23083,74,12676,36,320092,1551,219459,45761,156,658,2,1715,,Friday,Nov-20,2020,20201113
55,55,14-11-2020,94.96,43533,145,23108,25,12703,27,321050,958,220116,45845,84,659,1,1653,,Saturday,Nov-20,2020,20201114
56,56,15-11-2020,95.1,43656,123,23141,33,12740,37,321769,719,220609,45903,58,662,3,1585,,Sunday,Nov-20,2020,20201115
57,57,16-11-2020,95.46,43941,285,23233,92,12761,21,322989,1220,221446,46028,125,663,1,1424,,Monday,Nov-20,2020,20201116
58,58,17-11-2020,95.56,44132,191,23310,77,12803,42,324649,1660,222584,46182,154,667,4,1383,,Tuesday,Nov-20,2020,20201117
59,59,18-11-2020,95.61,44310,178,23482,172,12839,36,326365,1716,223760,46344,162,670,3,1364,,Wednesday,Nov-20,2020,20201118
60,60,19-11-2020,95.66,44467,157,23582,100,12880,41,327986,1621,224872,46480,136,670,0,1343,,Thursday,Nov-20,2020,20201119
61,61,20-11-2020,95.78,44665,198,23692,110,12928,48,329749,1763,226080,46632,152,672,2,1295,,Friday,Nov-20,2020,20201120
62,62,21-11-2020,95.86,44812,147,23781,89,12976,48,331599,1850,227349,46748,116,675,3,1261,,Saturday,Nov-20,2020,20201121
63,63,22-11-2020,96.06,44979,167,23819,38,13007,31,332738,1139,228130,46826,78,677,2,1170,,Sunday,Nov-20,2020,20201122
64,64,23-11-2020,96.12,45083,104,23879,60,13034,27,334198,1460,229131,46901,75,677,0,1141,,Monday,Nov-20,2020,20201123
65,65,24-11-2020,95.96,45168,85,23960,81,13070,36,336202,2004,230505,47068,167,679,2,1221,,Tuesday,Nov-20,2020,20201124
